trx_code,trx_id,rek_code,rek,creationdate,type,amount,balance
23486,139079,2346,9437,2022-02-22 09:01:31+07:00,1,155000.0,2655591.26
23438,139847,2346,9437,2022-02-22 13:32:29+07:00,5,-90591.0,2565000.26
23444,141182,2346,9437,2022-02-22 21:58:58+07:00,5,-1000000.0,1565000.26
146676,1517635,2346,9437,2022-03-25 15:00:50+07:00,5,-400000.0,999999.69
156846,124055,2346,9437,2022-02-16 13:02:30+07:00,1,2500000.0,2500059.26
413099,344469660,14301,2673,2024-08-28 12:35:25+07:00,5,-200000.0,1001919.72
100426,1236621,1922,2526,2022-03-12 10:54:44+07:00,1,2000000.0,2000090.32
434058,344682689,3821,15923,2024-08-28 17:23:19+07:00,5,-200000.0,6201055.87
23423,127418,2212,5908,2022-02-17 19:27:45+07:00,1,500000.0,600000.0
23477,126299,2346,9437,2022-02-17 11:30:05+07:00,5,-500000.0,2000059.26
103198,1244493,2212,5908,2022-03-12 19:09:23+07:00,5,-1000000.0,450526.93
103197,1243797,2346,9437,2022-03-12 18:26:29+07:00,1,120000.0,2249999.69
23659,1014861,2346,9437,2022-03-08 07:08:17+07:00,1,200000.0,1879999.69
23662,1025898,2212,5908,2022-03-08 08:17:40+07:00,1,200000.0,1400526.93
24078,4649457,2212,5908,2022-05-01 17:33:15+07:00,1,500000.0,4085625.38
40196,4649463,2212,5908,2022-05-01 17:33:39+07:00,1,180000.0,4265625.38
101175,3494862,3799,7665,2022-05-01 00:01:17+07:00,4,,49001.0
101176,3494871,3799,7665,2022-05-01 00:01:17+07:00,2,122.76,49123.76
101177,3494877,3799,7665,2022-05-01 00:01:17+07:00,7,-24.55,49099.21
146791,1417570,2212,5908,2022-03-21 23:15:06+07:00,5,-36500.0,70.93
154322,1553011,2346,9437,2022-03-28 19:51:51+07:00,1,545000.0,1044999.69
100510,1543522,2346,9437,2022-03-27 21:38:39+07:00,5,-500000.0,499999.69
146704,1566718,2346,9437,2022-03-29 08:46:35+07:00,5,-100000.0,899999.69
100515,1555861,2346,9437,2022-03-29 06:16:45+07:00,5,-45000.0,999999.69
100516,1589284,2346,9437,2022-03-29 11:11:16+07:00,5,-200000.0,699999.69
23498,3201439,1922,2526,2022-04-14 05:33:18+07:00,1,1000000.0,3502718.01
119317,3384271,2212,5908,2022-04-25 12:19:07+07:00,1,5392531.0,5578552.95
112212,1768915,2346,9437,2022-04-01 00:02:36+07:00,4,,199999.69
112213,1768921,2346,9437,2022-04-01 00:02:36+07:00,2,4440.6,204440.29
112214,1768927,2346,9437,2022-04-01 00:02:36+07:00,7,-888.12,203552.17
112209,1768873,1922,2526,2022-04-01 00:02:36+07:00,4,,2500090.32
112210,1768876,1922,2526,2022-04-01 00:02:36+07:00,2,3284.61,2503374.93
112211,1768879,1922,2526,2022-04-01 00:02:36+07:00,7,-656.92,2502718.01
111855,1750270,2212,5908,2022-04-01 00:00:40+07:00,4,,70.93
111856,1750273,2212,5908,2022-04-01 00:00:40+07:00,2,1188.77,1259.7
111857,1750276,2212,5908,2022-04-01 00:00:40+07:00,7,-237.75,1021.95
276823,263854361,3799,7665,2024-02-24 16:21:36+07:00,5,-100000.0,342010.05
440717,263889939,1688,7977,2024-02-24 20:54:53+07:00,5,-100000.0,406174.06
647612,263897900,1688,7977,2024-02-24 22:08:58+07:00,5,-100000.0,306174.06
221624,355020401,14301,2673,2024-09-11 09:59:33+07:00,1,1600000.0,9600043.83
647427,262744556,19034,7354,2024-02-16 07:04:31+07:00,1,4966.0,30852.81
567181,262745840,20365,11071,2024-02-16 07:07:45+07:00,1,334816.0,647398.0
438123,262744950,13507,9175,2024-02-16 07:05:35+07:00,1,26916.0,818717.35
1289,262745994,12429,10694,2024-02-16 07:08:08+07:00,1,22444.0,1846408.68
638254,262744702,3533,6228,2024-02-16 07:04:54+07:00,1,39094.0,11074330.07
339076,262765282,2524,9210,2024-02-16 11:05:51+07:00,5,-130000.0,13873446.64
196464,262746045,2297,7638,2024-02-16 07:08:17+07:00,1,4966.0,30810.38
647429,262745593,6719,2109,2024-02-16 07:07:14+07:00,1,16853.0,1505502.2
338097,262745478,4090,11745,2024-02-16 07:06:56+07:00,1,2903.0,278184.45
620689,262745207,6583,15414,2024-02-16 07:06:10+07:00,1,8142.0,3501350.77
192110,262748749,893,15169,2024-02-16 07:49:49+07:00,5,-291000.0,9709310.94
552052,262785306,893,15169,2024-02-16 14:11:48+07:00,5,-240000.0,10769310.94
1287,262745051,11213,1734,2024-02-16 07:05:49+07:00,1,44113.0,1031522.75
635749,262745370,15382,2864,2024-02-16 07:06:39+07:00,1,51000.0,5224453.09
600869,262748979,893,15169,2024-02-16 07:52:29+07:00,1,1300000.0,11009310.94
144173,262745537,19108,11284,2024-02-16 07:07:07+07:00,1,20169.0,2047120.48
461051,262761593,19108,11284,2024-02-16 10:22:48+07:00,5,-1870000.0,177120.48
635764,262848464,15927,11920,2024-02-16 22:22:01+07:00,5,-26500.0,1692566.75
277510,262744654,1035,6672,2024-02-16 07:04:46+07:00,1,10779.0,574800.19
43078,262813519,6583,15414,2024-02-16 17:44:50+07:00,5,-500000.0,3001350.77
567195,262826803,2212,5908,2024-02-16 19:18:40+07:00,5,-400000.0,7000748.07
646693,262745466,515,541,2024-02-16 07:06:54+07:00,1,20550.0,3838942.54
192097,262650415,11465,7639,2024-02-15 12:38:20+07:00,5,-10000.0,11936076.55
549607,262621639,20365,11071,2024-02-15 07:22:52+07:00,5,-10000.0,312582.0
552030,262655694,2212,5908,2024-02-15 13:29:36+07:00,5,-100000.0,7400748.07
550364,262653298,11465,7639,2024-02-15 13:06:53+07:00,5,-100000.0,11836076.55
461026,262619592,3533,6228,2024-02-15 07:05:44+07:00,1,39094.0,11035236.07
646686,262690740,15927,11920,2024-02-15 18:00:01+07:00,5,-110000.0,1719066.75
600853,262620388,19108,11284,2024-02-15 07:07:45+07:00,1,20169.0,2026951.48
571375,262620232,20365,11071,2024-02-15 07:07:20+07:00,1,161291.0,322582.0
43052,262619551,13507,9175,2024-02-15 07:05:39+07:00,1,26916.0,791801.35
552024,262619746,6719,2109,2024-02-15 07:06:04+07:00,1,16853.0,1488649.2
192101,262675596,15927,11920,2024-02-15 16:08:11+07:00,5,-35000.0,1829066.75
647414,262618894,1035,6672,2024-02-15 07:04:02+07:00,1,10779.0,564021.19
110958,262493552,19084,15442,2024-02-14 02:43:31+07:00,5,-150000.0,35520663.28
552018,262559050,2604,13082,2024-02-14 17:35:18+07:00,5,-200000.0,125930.14
600836,262499350,3799,7665,2024-02-14 06:57:07+07:00,5,-200000.0,742010.05
284224,262447177,893,15169,2024-02-13 17:57:45+07:00,5,-1000000.0,10000310.94
278496,9728655,5614,1207,2022-07-25 10:43:26+07:00,1,600000.0,8266390.31
123916,355177107,10641,8538,2024-09-11 23:43:38+07:00,5,-35000.0,1001042.84
81416,348446936,9718,10957,2024-09-01 00:32:11+07:00,4,,1048565.54
129246,354995461,19108,11284,2024-09-11 07:03:49+07:00,1,20361.0,4444261.64
504426,324718270,19108,11284,2024-07-03 07:04:58+07:00,1,20361.0,2991867.47
517729,262446134,3799,7665,2024-02-13 17:49:56+07:00,5,-150000.0,942010.05
646643,262478137,11465,7639,2024-02-13 22:00:44+07:00,5,-150000.0,11946076.55
95860,262453681,2979,8562,2024-02-13 18:46:26+07:00,1,100000.0,8635618.48
148976,3426976,2212,5908,2022-04-27 17:40:22+07:00,5,-1000000.0,4578552.95
119338,3427210,2212,5908,2022-04-27 18:04:45+07:00,5,-1000000.0,3578552.95
523477,286714963,2346,9437,2024-04-08 19:17:10+07:00,5,-1000000.0,1002473.97
109952,262482814,2212,5908,2024-02-13 22:57:10+07:00,5,-100000.0,7500748.07
93077,262466138,2212,5908,2024-02-13 20:04:56+07:00,5,-100000.0,7600748.07
27651,262348536,2604,13082,2024-02-13 01:13:08+07:00,5,-100000.0,335930.14
93031,262197151,19084,15442,2024-02-12 01:12:24+07:00,5,-1000000.0,36725663.28
182158,262314872,19084,15442,2024-02-12 22:42:43+07:00,5,-1000000.0,35725663.28
646068,262273493,11465,7639,2024-02-12 17:10:49+07:00,5,-50000.0,12096076.55
275717,262194525,2979,8562,2024-02-12 00:02:07+07:00,5,-15000.0,8815618.48
296629,252043735,2212,5908,2024-01-25 13:28:17+07:00,5,-30000.0,15800923.93
515506,345591871,18084,6376,2024-08-30 17:46:36+07:00,5,-200000.0,4801834.07
126280,288442360,6719,2109,2024-04-20 07:18:00+07:00,1,16853.0,2495728.06
458291,288552330,2979,8562,2024-04-20 20:59:11+07:00,1,140000.0,1080024.85
324146,288441376,2623,6240,2024-04-20 07:15:10+07:00,1,10010.0,2997969.61
498659,288442584,13507,9175,2024-04-20 07:18:40+07:00,1,26916.0,550149.26
228283,288441949,515,541,2024-04-20 07:16:43+07:00,1,20550.0,3227570.02
321364,288441999,4090,11745,2024-04-20 07:16:53+07:00,1,7117.0,146424.96
458273,288442760,12429,10694,2024-04-20 07:19:09+07:00,1,22444.0,3298651.36
498657,288441227,1035,6672,2024-04-20 07:14:46+07:00,1,10779.0,206469.58
170312,288441392,11213,1734,2024-04-20 07:15:13+07:00,1,44113.0,895787.62
495343,288442798,19108,11284,2024-04-20 07:19:17+07:00,1,20169.0,967689.99
4066,288442958,15382,2864,2024-04-20 07:19:43+07:00,1,51000.0,14541377.39
430999,288441683,6583,15414,2024-04-20 07:15:58+07:00,1,8142.0,3672418.07
461939,288471387,3821,15923,2024-04-20 11:50:43+07:00,1,1100000.0,17500309.98
106045,288522638,3821,15923,2024-04-20 17:46:53+07:00,1,3100000.0,20600309.98
93122,288442816,9718,10957,2024-04-20 07:19:20+07:00,1,17858.0,430683.43
498669,288520880,15927,11920,2024-04-20 17:35:49+07:00,5,-50000.0,288638.84
286620,288426166,2524,9210,2024-04-20 00:06:23+07:00,5,-55000.0,12458836.53
458277,288454043,19084,15442,2024-04-20 09:09:34+07:00,5,-110000.0,40058000.44
324158,288481964,18084,6376,2024-04-20 13:23:41+07:00,5,-100000.0,1900010.57
324155,288473141,3799,7665,2024-04-20 12:06:16+07:00,5,-50000.0,1464681.81
353088,288434383,3799,7665,2024-04-20 04:24:35+07:00,5,-50000.0,1514681.81
90393,288426187,2524,9210,2024-04-20 00:06:44+07:00,5,-1000.0,12457836.53
208904,288445458,20365,11071,2024-04-20 07:46:01+07:00,5,-1000000.0,2181131.24
495347,288486359,2346,9437,2024-04-20 13:59:09+07:00,5,-50000.0,152473.97
208913,288500815,20365,11071,2024-04-20 15:37:04+07:00,5,-500000.0,1681131.24
93141,288560384,15927,11920,2024-04-20 22:02:31+07:00,5,-35000.0,253638.84
353106,288509717,11465,7639,2024-04-20 16:30:22+07:00,5,-143000.0,17471000.14
437084,262098513,3799,7665,2024-02-11 09:25:13+07:00,5,-500000.0,692010.05
593822,262103391,2623,6240,2024-02-11 10:23:38+07:00,5,-400000.0,230193.92
182691,262153649,2979,8562,2024-02-11 17:40:29+07:00,5,-50000.0,8830618.48
109903,262143320,11465,7639,2024-02-11 16:23:56+07:00,5,-50000.0,12146076.55
361492,286659121,2524,9210,2024-04-08 14:54:37+07:00,5,-150000.0,13429836.53
503509,286763276,19084,15442,2024-04-08 23:56:28+07:00,5,-500000.0,42050246.44
274855,261873300,1922,2526,2024-02-09 14:47:38+07:00,5,-1000000.0,1934386.32
275674,261896902,3821,15923,2024-02-09 17:14:14+07:00,1,200000.0,9756469.41
275675,261908456,2212,5908,2024-02-09 18:32:14+07:00,5,-50000.0,12300748.07
592203,261826117,2212,5908,2024-02-09 08:25:48+07:00,5,-30000.0,12350748.07
109863,261903853,3799,7665,2024-02-09 18:01:27+07:00,5,-100000.0,1292010.05
593778,261825526,11465,7639,2024-02-09 08:18:50+07:00,5,-16000.0,12234076.55
522577,261818594,6719,2109,2024-02-09 07:07:14+07:00,1,16853.0,1387531.2
635607,261818329,13507,9175,2024-02-09 07:06:36+07:00,1,26916.0,630305.35
284125,261819706,12429,10694,2024-02-09 07:09:55+07:00,1,22444.0,1689300.68
592199,261819821,19108,11284,2024-02-09 07:10:10+07:00,1,20169.0,1905937.48
522574,261808931,2604,13082,2024-02-09 01:59:14+07:00,5,-27500.0,525630.14
501431,324718427,13507,9175,2024-07-03 07:05:15+07:00,1,26916.0,639773.28
95740,261666344,19084,15442,2024-02-08 00:12:42+07:00,1,200000.0,39053663.28
182624,261722680,19084,15442,2024-02-08 14:19:38+07:00,5,-500000.0,38553663.28
597263,261698340,2212,5908,2024-02-08 10:37:06+07:00,5,-200000.0,15400748.07
148866,324717262,11213,1734,2024-07-03 07:03:06+07:00,1,44113.0,330378.22
348117,286572306,10641,8538,2024-04-08 01:37:33+07:00,5,-50000.0,1955391.69
553425,286574095,10641,8538,2024-04-08 02:03:16+07:00,5,-50000.0,1905391.69
55496,286696575,5614,1207,2024-04-08 17:46:20+07:00,5,-50000.0,21991292.33
522546,261596748,19084,15442,2024-02-07 15:52:57+07:00,5,-50000.0,38853663.28
132780,261530790,3799,7665,2024-02-07 06:55:44+07:00,5,-50000.0,1655010.05
95723,261559485,2524,9210,2024-02-07 11:35:57+07:00,5,-100000.0,12102446.64
298987,261533475,19108,11284,2024-02-07 07:09:36+07:00,1,20169.0,1865599.48
635568,261532816,9718,10957,2024-02-07 07:07:56+07:00,1,17858.0,180761.79
517595,261532024,6719,2109,2024-02-07 07:06:07+07:00,1,16853.0,1353825.2
92927,261532765,3533,6228,2024-02-07 07:07:49+07:00,1,39094.0,10722484.07
284089,261541004,2212,5908,2024-02-07 08:34:00+07:00,1,14000000.0,20600748.07
298985,261533108,11213,1734,2024-02-07 07:08:40+07:00,1,44113.0,634505.75
182041,261557284,2212,5908,2024-02-07 11:16:27+07:00,5,-5000000.0,15600748.07
284084,261532820,2623,6240,2024-02-07 07:07:57+07:00,1,10010.0,590153.92
597243,261532010,4090,11745,2024-02-07 07:06:05+07:00,1,2903.0,252057.45
182032,261519320,11465,7639,2024-02-07 00:40:31+07:00,5,-120000.0,12259076.55
616908,261532463,15382,2864,2024-02-07 07:07:11+07:00,1,51000.0,4765453.09
95712,261519342,11465,7639,2024-02-07 00:40:55+07:00,5,-9000.0,12250076.55
125946,261532758,1035,6672,2024-02-07 07:07:48+07:00,1,10779.0,477789.19
182034,261531864,515,541,2024-02-07 07:05:41+07:00,1,20550.0,3653992.54
298981,261516627,11465,7639,2024-02-07 00:11:18+07:00,5,-28000.0,12379076.55
522538,261532267,13507,9175,2024-02-07 07:06:40+07:00,1,26916.0,576473.35
182587,261533213,12429,10694,2024-02-07 07:08:56+07:00,1,22444.0,1644412.68
436449,261532999,6583,15414,2024-02-07 07:08:23+07:00,1,8142.0,3428072.77
593730,261578554,2346,9437,2024-02-07 13:56:29+07:00,5,-200000.0,300738.5
95739,261657139,2524,9210,2024-02-07 22:18:52+07:00,1,1301000.0,13403446.64
303305,286695056,5614,1207,2024-04-08 17:38:59+07:00,5,-100000.0,22041292.33
158586,286695088,18084,6376,2024-04-08 17:39:08+07:00,5,-100000.0,4900010.57
202532,286592110,4090,11745,2024-04-08 07:18:01+07:00,1,2903.0,77876.96
164717,286566343,19084,15442,2024-04-08 00:32:33+07:00,1,250000.0,44550246.44
582800,286592306,6719,2109,2024-04-08 07:18:31+07:00,1,16853.0,2394610.06
197892,286592729,1035,6672,2024-04-08 07:19:35+07:00,1,10779.0,277121.58
523458,286574171,10641,8538,2024-04-08 02:04:26+07:00,5,-2000.0,1903391.69
59279,286590520,515,541,2024-04-08 07:14:05+07:00,1,20550.0,2980970.02
202560,286758404,19084,15442,2024-04-08 23:16:54+07:00,5,-2000000.0,42550246.44
30900,286591476,15382,2864,2024-04-08 07:16:31+07:00,1,51000.0,13929377.39
568637,286591266,12429,10694,2024-04-08 07:15:57+07:00,1,22444.0,3029323.36
503492,286674663,2979,8562,2024-04-08 16:07:33+07:00,1,102000.0,1822024.85
303282,286592763,19034,7354,2024-04-08 07:19:41+07:00,1,4966.0,120266.38
583753,286591571,6583,15414,2024-04-08 07:16:45+07:00,1,8142.0,3574714.07
303281,286592175,2297,7638,2024-04-08 07:18:13+07:00,1,4966.0,130286.56
523461,286591420,13507,9175,2024-04-08 07:16:23+07:00,1,26916.0,2227157.26
164727,286634635,2604,13082,2024-04-08 12:35:24+07:00,5,-26.0,27585.98
572828,286590811,3533,6228,2024-04-08 07:14:46+07:00,1,39094.0,13192062.77
329744,286591482,19108,11284,2024-04-08 07:16:31+07:00,1,20169.0,725661.99
